Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Is_Weekend,Fraud_Label,Amount_to_Avg_Ratio
22.02,0,55851.38,1,3,1,0,0,13,179.73,3,3,204,633.99,2,1,0,0.12244897959183675
203.97,0,73616.91,1,2,3,1,0,4,482.2,4,2,173,4723.22,3,1,1,0.422911051212938
55.35,3,88292.27,2,3,1,0,0,12,283.43,0,3,80,625.67,2,1,0,0.19521743730822133
17.17,0,71983.33,1,3,1,0,0,2,36.46,2,2,165,3402.37,2,0,0,0.46963894967177244
72.33,0,29954.64,1,3,0,0,0,3,233.6,4,1,120,3956.54,3,1,1,0.3094993581514763
188.75,2,58078.66,1,3,4,0,1,4,495.1,0,0,85,3935.53,3,0,0,0.3811591276252019
2.61,1,51803.62,2,4,2,0,0,1,382.67,2,3,86,4963.49,0,0,0,0.006818716200329178
195.76,2,85000.68,2,1,4,0,1,14,226.9,1,2,65,4045.87,2,1,0,0.8623788546255506
8.06,0,38155.13,0,3,4,0,0,9,298.73,4,2,232,1819.59,3,0,1,0.026971856908610245
73.34,1,72060.59,0,0,0,0,0,9,434.91,2,3,92,4779.55,0,0,0,0.16859382542930046
9.82,1,39996.92,1,3,1,0,0,13,42.42,2,1,152,2772.48,3,0,1,0.23095014111006584
197.21,2,32472.3,0,3,1,0,0,14,268.08,0,3,225,1947.0,2,0,1,0.7353643075546274
56.45,0,1525.05,1,1,3,0,0,8,277.53,3,0,103,1031.7,3,0,0,0.20332817058675218
0.32,2,39236.78,1,3,1,0,0,11,66.4,1,0,38,1548.07,1,1,0,0.00481203007518797
63.83,3,75526.24,0,3,3,0,0,14,69.19,1,3,45,3878.08,0,0,0,0.9212007504690433
147.71,3,40660.04,0,3,3,0,0,5,191.11,2,2,20,3055.68,1,0,0,0.7725014382092987
127.57,0,43073.71,0,0,4,0,0,7,139.86,0,3,228,3424.04,1,1,0,0.9114747070591597
15.24,3,61396.94,2,1,4,0,0,9,198.16,2,0,195,840.45,2,0,0,0.07686875819630788
80.4,3,60394.4,0,2,4,0,0,10,292.42,4,2,95,4530.61,0,0,1,0.27485300150417064
3.13,3,34717.05,2,1,3,0,0,8,266.86,2,0,87,2351.65,0,0,0,0.011724602936769551
9.53,2,60125.25,1,4,2,0,0,10,389.23,0,0,206,3951.42,2,1,0,0.024477949297511105
24.73,1,26301.84,2,2,0,0,1,2,181.3,2,0,162,1199.1,0,1,0,0.13632855567805954
138.21,3,38278.34,2,2,1,0,0,2,424.38,1,2,158,4183.86,2,0,0,0.325598379193366
39.63,1,8549.08,1,4,4,0,0,13,329.74,4,3,17,4940.9,3,0,1,0.12014916323065729
11.77,0,42891.23,1,0,2,0,1,5,434.42,4,1,106,1296.27,0,1,1,0.027087360765902603
129.22,1,19305.37,1,0,0,0,0,13,368.53,3,1,44,665.43,2,0,0,0.35054119306621817
13.36,1,12122.23,2,2,2,0,0,6,363.3,0,3,159,142.32,2,0,0,0.03676389653274628
272.93,3,34981.69,1,0,2,0,0,4,128.02,3,2,121,4510.4,0,0,0,2.13026849828286
23.69,3,24626.76,1,4,3,0,0,13,23.77,2,0,25,2506.35,0,0,0,0.9924591537494764
70.81,0,99005.13,2,1,1,0,0,3,362.81,3,3,211,3089.62,0,1,0,0.1951172467002838
22.63,1,85873.02,1,2,2,0,0,3,282.11,3,1,163,817.02,1,1,0,0.08018851210091774
92.27,0,69161.25,1,1,4,0,0,14,296.52,4,2,185,4627.43,3,0,1,0.311071404490594
112.72,0,85678.68,2,0,0,0,0,5,403.13,3,1,64,229.77,0,0,0,0.2795426927559953
213.77,0,44775.66,1,1,0,0,0,11,449.66,2,0,179,3352.98,3,1,0,0.475297936677339
3.06,1,75650.51,0,3,1,0,0,3,391.4,0,1,62,1855.93,1,0,0,0.007816091954022988
308.73,1,841.65,1,1,0,0,0,9,184.97,3,0,51,4722.91,0,0,0,1.6681796077159996
18.98,2,96821.71,2,3,0,0,0,5,286.61,1,1,202,1607.61,1,0,1,0.06619929545533813
38.1,2,80339.18,2,1,3,0,0,4,376.23,0,3,209,2141.19,3,0,0,0.10124093216060372
69.78,3,84572.25,0,2,3,1,0,5,278.72,1,3,143,3623.95,1,1,1,0.25026899074671827
29.6,0,91272.39,1,0,2,0,1,5,423.67,3,0,132,3869.54,0,0,0,0.06984921065672417
231.0,3,50228.86,2,0,3,0,0,11,261.18,2,2,11,736.9,0,0,1,0.8841090018371095
24.48,3,89578.63,1,1,1,0,0,10,380.6,2,2,223,2541.13,0,0,0,0.06430260047281323
237.11,3,38531.58,1,3,1,0,0,5,397.31,2,1,8,7.01,2,1,0,0.5966382325557988
306.6,3,66429.56,0,1,2,0,0,13,130.04,0,1,108,1700.82,0,1,0,2.3559243891194104
29.72,3,88648.99,0,0,2,0,0,3,54.98,2,2,55,2254.22,1,0,0,0.5395787944807553
124.88,2,72517.85,2,3,1,0,0,4,459.11,1,2,93,1379.33,3,0,0,0.271945297358507
27.92,1,77140.55,1,4,0,0,0,3,464.6,0,1,105,3061.09,3,0,0,0.06008177318700236
34.39,2,44749.59,1,0,2,0,0,10,342.54,3,0,182,3093.97,1,0,0,0.10036773289750174
95.05,1,83198.66,1,0,3,0,0,10,37.39,1,0,151,1498.03,3,0,0,2.535342758068818
31.7,2,82964.35,0,3,0,0,0,11,338.59,2,3,103,4265.72,2,0,0,0.09359591366736543
191.97,2,67585.77,2,1,0,0,0,13,302.64,3,2,41,4856.51,2,0,0,0.6341084759199312
44.07,1,11918.09,1,1,2,0,0,11,376.21,3,3,231,13.98,3,0,0,0.11711089261513115
25.38,0,48704.75,2,3,0,1,0,7,115.09,3,2,168,3408.27,2,0,0,0.2203316260092022
394.62,0,71321.68,1,3,3,0,0,7,316.12,0,1,68,2684.63,3,0,0,1.24792865726393
63.37,3,47665.1,1,0,2,0,0,4,109.07,2,1,20,3572.45,3,0,0,0.580470825318311
16.97,3,52165.88,1,2,1,0,0,10,319.69,0,3,103,4184.27,0,0,0,0.053066074611463766
363.86,3,90037.97,0,0,1,0,1,10,24.57,2,1,140,4614.29,3,1,0,14.749087961086339
106.2,1,31890.74,0,0,1,0,0,6,418.15,3,3,94,1352.51,3,0,0,0.25391512253436943
70.42,1,21248.8,0,1,4,0,0,1,377.0,1,1,15,1571.39,0,0,0,0.18674091752850702
21.33,0,96219.67,2,2,0,0,0,2,159.98,0,1,77,1837.58,0,1,0,0.13324587706146926
64.23,1,67088.03,0,3,0,0,0,14,324.54,0,2,38,3717.63,2,0,0,0.19784992607195662
298.9,3,55658.79,2,3,4,0,0,14,60.8,1,2,42,2015.46,1,0,1,4.908045977011494
173.68,3,50940.03,1,0,2,0,0,10,282.28,4,1,71,146.07,0,0,1,0.6150577236348184
126.92,2,85516.43,2,4,4,0,0,12,373.92,4,1,201,4787.71,2,0,1,0.33934014223838294
40.64,0,76016.81,1,0,1,0,0,5,359.54,1,0,128,620.67,2,0,0,0.11300189077966855
12.87,2,51260.5,2,2,0,0,0,1,230.41,2,1,235,1729.86,3,1,0,0.05583271875406707
3.1,1,76141.76,1,2,4,0,0,10,204.59,4,3,67,2958.68,2,0,1,0.015144853192632762
31.27,2,6814.33,2,2,0,0,0,5,449.24,2,0,122,8.34,3,1,0,0.0695909556238038
77.02,0,35240.55,2,1,4,0,0,10,232.91,0,1,194,3686.61,1,0,0,0.3305437534869748
9.21,1,29122.14,1,3,3,0,0,3,58.34,2,3,167,307.19,1,0,0,0.15759753593429157
24.95,3,40716.69,0,0,0,0,0,1,57.26,1,2,70,1674.43,1,1,0,0.4349721059972106
48.03,1,64769.27,0,1,0,0,0,5,495.11,1,2,12,417.64,3,0,0,0.09698915611558732
31.32,0,11082.48,2,0,4,0,0,11,68.46,3,3,31,2672.02,2,1,0,0.456826137689615
60.8,2,48076.05,1,1,3,0,0,1,130.51,1,2,74,1388.4,3,1,0,0.4655080009187658
98.82,1,20800.69,2,2,3,0,0,10,440.03,0,1,151,743.79,3,0,0,0.2245245722854611
32.32,3,35239.44,2,0,2,0,0,12,260.55,1,0,93,2716.25,1,0,0,0.12399769806253595
174.45,3,73618.23,1,3,0,0,0,9,386.62,3,0,207,4996.91,1,1,0,0.4511015721969383
109.35,3,42365.28,1,0,3,0,0,4,355.47,1,1,103,3099.26,0,0,0,0.3075343814157549
22.51,0,1651.62,2,0,3,0,0,2,470.64,0,0,23,205.3,0,1,0,0.04781832858903004
35.93,0,83856.0,0,4,1,0,1,7,233.36,2,0,167,1550.67,2,0,0,0.1539021673948428
282.59,1,62888.38,2,2,1,0,1,2,105.64,0,1,104,1603.64,3,0,1,2.6724985814261393
263.8,0,94812.91,2,4,0,0,0,3,476.31,2,3,139,1300.58,1,0,1,0.553724732898134
58.79,3,81359.53,1,0,2,0,0,8,373.39,0,1,91,2367.83,2,1,0,0.15740715949556883
124.74,1,61520.85,2,1,4,1,0,13,293.03,1,2,196,2379.56,3,0,0,0.42554498004298436
48.92,3,13124.53,2,3,3,0,0,1,131.59,1,2,79,2898.69,0,1,1,0.371478472169489
4.97,0,19504.57,2,1,0,0,0,8,394.36,3,2,205,3639.03,3,0,0,0.012599503118186887
50.4,1,70996.25,1,0,1,0,0,14,84.89,1,0,74,1043.77,3,0,0,0.5930109424638192
180.62,0,53345.96,2,3,4,0,0,4,47.79,2,1,90,3326.17,3,0,0,3.7715598245980373
140.6,0,13935.49,2,3,0,0,0,9,227.36,1,2,200,2864.87,2,0,0,0.6181306603358832
231.35,0,92933.91,0,4,2,0,0,8,478.76,1,3,34,2273.51,3,1,0,0.4831265923234348
212.22,3,6753.07,1,3,4,0,0,4,107.26,4,1,179,1046.9,0,0,1,1.9767138599105811
147.84,3,46527.47,2,3,4,0,0,1,131.17,3,3,148,4908.34,2,0,0,1.1262283842462102
158.85,1,11813.99,2,2,4,0,0,14,465.49,1,0,79,2653.12,3,0,0,0.3411800081616873
4.43,1,18905.83,0,2,3,0,0,9,292.94,3,2,18,2594.13,3,1,0,0.015117390117390115
85.45,0,41767.46,1,3,2,0,0,14,228.01,0,2,92,4570.28,1,0,0,0.3745999736969007
99.32,2,29329.35,2,0,0,0,0,10,34.74,4,3,167,3368.55,0,1,1,2.850746268656716
87.29,1,82933.42,2,3,4,0,1,2,270.04,0,0,115,4233.75,1,1,0,0.3231287480565632
229.0,2,20413.24,2,3,3,0,0,5,492.31,2,3,107,4659.45,0,0,0,0.46505960480087727
22.4,3,87085.89,0,4,1,0,0,9,258.53,1,2,78,3264.92,2,1,0,0.08661021536558017
263.59,2,98730.52,0,2,2,0,1,4,79.03,1,2,157,4134.17,0,0,0,3.331100720333628
425.97,3,14127.88,1,0,0,0,0,4,136.02,3,2,157,4657.46,3,1,0,3.1293711431090214
119.44,0,18698.54,2,2,0,0,0,2,21.14,0,1,105,4487.33,1,0,0,5.623352165725047
18.41,3,48723.59,2,3,1,0,0,2,51.4,3,2,82,1931.13,2,0,0,0.3574757281553398
8.74,1,1686.45,0,2,1,0,0,10,375.95,1,1,13,3286.0,3,0,0,0.023241590214067277
513.78,3,63548.64,0,1,4,0,0,6,327.31,0,0,201,2720.75,2,0,0,1.569225130570233
57.85,0,28459.14,0,2,1,0,0,13,71.66,4,0,81,3003.21,2,0,1,0.8061594202898552
27.64,2,12521.24,1,4,3,0,0,6,127.39,4,1,16,4150.25,1,0,1,0.2168013177504118
64.61,1,94289.85,1,2,0,0,0,11,332.4,3,0,139,366.13,1,0,0,0.19431578947368422
106.84,3,55417.27,0,3,2,0,0,13,277.96,0,1,65,17.13,0,0,0,0.38423361864345823
80.2,2,82626.55,2,3,4,0,0,5,151.98,0,2,159,178.6,2,1,0,0.5273540241977908
11.91,0,75447.75,1,1,4,0,0,7,86.6,1,3,69,961.72,1,0,0,0.1373702422145329
202.75,0,58180.36,2,0,4,1,0,8,77.57,0,1,6,1798.14,2,1,0,2.6104029869962666
45.05,0,7142.75,1,3,2,1,0,6,177.07,0,2,32,4623.41,1,1,1,0.2542755545521251
68.08,0,11823.74,1,3,1,0,0,14,124.97,2,3,116,4500.89,2,1,0,0.54433517230351
38.38,2,33764.14,2,2,3,0,0,3,111.29,4,1,109,249.27,3,0,1,0.3445551665320047
45.14,1,90226.22,0,1,2,0,0,6,15.74,1,3,62,150.73,3,0,0,2.849747474747475
40.68,0,73513.35,0,0,0,0,0,3,27.19,1,1,40,768.22,0,0,1,1.4906559179186514
28.93,0,21457.06,0,1,4,0,0,4,356.78,0,0,124,293.67,3,0,0,0.08106366285586192
211.35,3,83061.48,1,0,4,0,0,3,209.73,4,2,234,4917.78,1,1,1,1.0072439593957014
221.65,0,4113.54,2,1,2,0,0,1,380.62,0,2,153,4158.29,0,0,1,0.5821863836940534
203.14,1,55114.35,0,3,1,0,0,14,29.4,4,0,121,3874.84,1,0,1,6.886101694915253
77.56,0,35091.4,0,1,1,0,0,3,126.65,2,1,84,1895.75,2,1,0,0.6119132149901381
43.67,0,871.39,2,1,2,0,0,8,281.45,0,0,64,321.41,3,0,0,0.1551056650683715
35.48,0,96433.2,1,3,4,0,0,10,274.94,4,0,223,1801.72,1,0,1,0.12899941826643396
69.42,0,55756.5,1,0,0,0,0,2,67.54,3,0,38,1047.08,2,0,0,1.0263157894736843
105.88,1,12611.33,2,2,1,0,0,12,155.72,1,1,207,242.67,3,0,0,0.6795019894750353
97.23,2,50077.22,2,1,0,0,0,4,206.5,3,3,103,1523.59,2,0,0,0.47061955469506295
309.46,3,1754.34,0,0,1,0,0,2,452.58,1,3,139,2165.65,0,0,0,0.6836175664928867
86.97,2,3919.19,0,2,3,0,1,10,236.75,4,2,8,2567.75,1,0,1,0.36719442685243825
110.75,3,67075.63,1,2,0,0,0,4,484.92,3,0,89,2290.86,3,0,0,0.22834109933610983
209.18,2,15932.19,1,2,2,0,0,14,10.28,0,2,105,1895.21,0,0,1,20.152215799614645
184.5,1,34642.47,1,3,4,0,0,13,10.0,4,2,91,2730.28,1,0,1,18.26732673267327
17.04,2,41936.84,2,3,1,0,0,6,403.46,3,1,34,4423.09,1,0,0,0.04222420457924472
12.13,1,86906.22,0,0,0,0,0,4,347.35,1,1,73,4849.83,0,0,0,0.03491149805727443
260.47,2,93531.71,2,3,1,0,0,8,287.19,1,2,63,4578.71,1,1,1,0.9066448536322184
68.1,3,58137.59,0,4,0,0,0,3,441.96,3,0,20,3548.05,1,1,0,0.15405148622358955
170.02,3,91895.42,2,0,3,0,0,2,321.48,3,2,98,3879.07,0,0,0,0.528702033708564
182.66,1,54959.93,1,1,1,0,0,5,351.34,0,3,126,3278.32,2,0,0,0.5197473252902345
92.96,2,49229.92,2,1,1,0,0,4,494.79,4,1,116,2829.23,2,0,1,0.18783972195841497
144.37,3,35724.0,0,1,2,0,0,8,155.47,1,2,200,2908.48,3,0,0,0.9280066850935271
3.54,0,30122.65,1,3,3,0,0,7,158.73,2,0,4,4814.01,1,0,0,0.02228798086003904
13.26,2,61487.58,1,0,2,0,0,9,409.11,4,0,15,1674.17,2,0,1,0.03240390019794237
17.99,1,96549.63,1,0,0,0,0,11,424.95,0,0,139,2490.71,2,0,0,0.04232443241971532
153.67,3,49487.07,1,3,0,0,0,13,70.46,3,3,150,4957.63,1,0,0,2.177862811791383
70.71,3,32856.05,2,3,1,0,0,11,315.57,3,0,2,212.36,1,0,0,0.22399974657078592
3.37,3,36893.16,0,3,3,0,0,1,462.86,4,2,116,558.31,2,0,1,0.007279246587178157
157.68,2,10182.62,2,0,1,0,0,9,106.06,2,0,229,2230.31,0,1,1,1.4853051996985682
82.06,3,7950.28,1,2,2,0,1,1,193.5,0,0,52,302.33,2,0,1,0.4238636363636364
5.32,0,29798.65,2,1,0,0,0,6,326.03,4,1,10,745.05,0,1,1,0.016312513414895903
119.95,3,13855.65,1,1,1,0,1,12,129.11,0,2,91,2044.59,1,1,0,0.9283337203002863
117.28,2,3767.23,0,3,1,0,0,6,10.31,2,0,221,1890.99,0,0,0,11.266090297790585
181.73,2,47292.37,2,1,4,0,1,12,63.67,3,0,57,3586.61,0,1,0,2.8497726203543983
62.48,1,43449.02,1,1,4,0,0,5,325.07,4,2,157,3964.15,1,0,1,0.19214564689239472
40.59,2,62096.26,2,1,3,0,0,3,122.7,3,0,9,2330.48,1,0,0,0.3305374592833877
112.39,1,70908.88,2,3,2,0,0,2,413.55,0,2,82,3485.53,3,1,0,0.271703130666022
28.15,0,31016.2,1,2,3,0,0,12,254.87,0,1,23,801.05,1,0,0,0.11040514570341609
117.73,3,74877.56,2,3,3,1,1,14,495.48,0,3,219,866.46,1,0,0,0.2375600306711328
15.36,1,37831.81,0,1,2,0,0,14,185.67,1,0,87,4298.23,3,0,0,0.08268288744145988
117.16,0,27098.65,1,4,4,0,1,14,497.79,3,0,167,116.07,1,0,1,0.23531302094840223
201.85,3,4154.2,1,4,1,0,0,6,229.49,2,2,144,3906.3,1,0,0,0.8791759222962672
149.61,3,69323.72,0,3,1,0,1,6,356.61,3,0,71,3940.39,0,1,0,0.41941633259510525
226.29,3,75649.09,0,0,1,0,0,5,94.12,0,1,130,3043.38,3,0,1,2.4017193801740606
46.84,1,31019.08,2,2,4,0,0,14,377.67,2,3,7,2066.62,0,1,1,0.12399078804563624
82.54,1,38836.67,2,4,2,0,0,12,84.02,4,3,135,150.75,3,0,1,0.9812173086067525
16.98,2,69035.41,2,4,4,0,0,3,235.83,1,0,94,2912.49,3,0,0,0.07197049972449455
38.75,2,17387.96,0,1,1,0,0,6,457.1,3,1,216,1575.68,0,0,0,0.08475503062117234
305.14,2,76589.09,0,4,4,0,0,8,129.07,1,2,85,4906.18,0,0,0,2.3623132306263064
68.78,2,62815.77,0,2,2,0,0,5,467.5,3,1,70,1119.49,2,1,0,0.14709153122326774
49.26,1,3624.33,2,3,4,0,0,13,61.04,2,1,229,614.8,2,0,1,0.8056918547595682
5.0,2,60075.24,2,1,2,0,0,5,307.9,4,1,116,2829.92,3,0,1,0.016233766233766232
0.8,3,16658.09,0,4,2,0,0,3,425.73,2,2,93,3948.56,0,1,0,0.0018786839818706995
29.2,2,66166.15,1,2,2,0,0,14,232.07,1,3,46,1484.21,3,0,0,0.1257699099797562
170.87,0,29864.62,0,1,0,0,0,11,207.57,3,3,88,2099.09,0,0,0,0.822795781769153
45.8,1,94938.23,1,1,4,0,0,6,368.61,3,0,158,3413.07,1,1,0,0.12421686420221853
77.25,3,14245.27,2,3,2,1,0,12,192.13,0,2,3,3461.71,0,0,0,0.4018623523903657
70.08,3,4792.45,1,2,3,0,0,4,45.2,1,3,127,1095.37,1,0,0,1.5470198675496687
27.37,3,74744.35,1,0,1,0,0,3,439.77,4,0,187,3265.08,1,0,1,0.06222292950189829
62.0,3,36146.11,1,4,0,0,0,5,451.0,1,2,161,1002.64,2,0,0,0.13744180891154953
33.64,3,9674.18,2,4,4,0,0,10,271.4,4,0,55,4345.67,1,0,1,0.12390423572744015
32.25,0,80244.56,0,4,3,0,0,7,160.14,2,0,59,4792.4,3,0,0,0.20126060908637047
287.98,1,13238.9,2,4,3,0,0,9,40.71,3,2,19,4819.85,3,1,0,7.056603773584905
266.58,2,36685.47,1,2,1,0,0,13,33.58,4,0,195,4150.2,2,1,1,7.9150831353919235
66.23,2,18347.86,1,0,4,0,0,9,492.14,4,3,225,1617.83,3,0,1,0.13454818787583292
300.74,0,26420.43,1,4,1,0,0,12,250.69,1,1,62,102.83,3,0,0,1.1991706208381516
76.19,2,78605.45,1,3,3,0,0,2,119.83,2,2,59,4001.3,2,1,0,0.6352872508963562
29.84,2,32677.53,2,2,4,0,0,1,363.45,3,3,117,4205.45,2,1,0,0.08207949387979645
231.29,0,86619.89,0,1,1,0,0,9,417.6,3,0,18,1588.39,0,1,1,0.5537227675365094
68.44,0,78645.6,0,0,4,0,0,3,339.58,3,2,203,985.65,0,1,0,0.20148374941121053
13.19,1,38925.5,0,4,0,1,0,7,196.24,0,0,212,2924.24,2,0,0,0.06717938270347357
102.89,3,30695.67,1,4,1,0,0,4,32.36,1,0,62,92.81,0,0,0,3.169747381392483
177.99,3,69959.25,2,2,4,0,1,5,62.24,2,1,208,4042.64,3,1,0,2.8551491819056785
120.32,1,88693.55,2,1,1,0,0,11,230.14,3,1,198,1168.01,3,0,0,0.5225851285615011
26.47,1,20500.38,0,2,4,0,0,13,391.12,2,3,194,712.35,3,0,0,0.0676601400746383
210.98,0,14361.8,2,1,0,0,0,2,35.22,3,1,173,92.88,2,0,0,5.9733861834654585
160.58,0,60955.11,2,2,3,0,0,7,315.32,1,0,198,2927.89,3,0,0,0.5090989791389259
52.5,2,74184.21,1,4,3,0,0,9,146.86,4,3,219,1370.95,3,0,1,0.3572400653238976
68.58,1,55847.43,1,3,1,0,0,12,317.51,1,0,234,637.53,2,0,0,0.21592519127231508
8.26,1,78451.8,2,1,4,1,0,2,417.81,3,1,164,1041.91,0,0,1,0.019765021176808402
133.82,1,94254.86,2,1,2,0,0,12,297.21,1,2,168,1396.62,2,1,0,0.4501025865258484
251.8,0,87999.62,1,2,3,0,0,13,56.74,0,0,28,3030.98,1,0,0,4.429978888106967
44.29,2,52056.64,1,2,0,0,0,14,400.96,0,3,170,4212.17,0,0,1,0.1104323542612078
25.05,1,47100.97,2,4,0,0,0,5,105.48,2,0,204,2959.47,1,0,1,0.2372608448569805
159.36,3,46150.37,2,1,1,0,0,4,96.4,2,3,200,2620.73,3,0,1,1.6513989637305702
154.59,0,42889.03,0,1,1,0,0,12,12.45,2,2,118,4054.89,2,1,0,12.317928286852592
136.49,3,29450.32,2,3,4,0,0,2,341.6,3,1,160,3418.29,2,0,0,0.39944395668715243
155.09,3,16524.51,0,3,3,0,0,7,219.58,4,2,2,2905.38,3,0,1,0.705981427530954
51.97,0,41278.5,2,2,1,0,0,10,66.31,3,3,89,4297.64,0,0,0,0.7825628670380967
52.75,1,26976.85,0,3,0,0,0,12,151.45,0,2,170,3579.79,0,0,0,0.3480699439129001
71.39,2,53067.51,0,2,1,0,0,14,302.66,3,3,105,2144.29,3,1,0,0.2357973312194477
50.8,0,87491.78,0,3,0,0,0,5,158.15,2,1,112,4890.79,3,1,1,0.3210110584518167
56.64,0,34337.36,1,2,1,0,0,11,120.63,2,2,230,678.61,0,1,0,0.4691460283276734
23.31,0,2489.44,2,2,0,0,0,14,104.81,3,1,232,1519.96,2,0,0,0.2221904489562482
145.45,0,36784.22,2,3,3,0,0,13,259.93,3,3,71,3207.3,3,1,0,0.5593585355535898
9.65,1,92112.94,0,1,3,0,0,1,436.66,1,2,4,1907.59,3,0,0,0.0220945141496474
268.52,2,52543.18,1,0,0,0,0,13,371.12,0,3,6,4534.39,3,0,0,0.7233446473789127
23.32,3,75259.34,1,0,4,0,0,11,88.25,1,1,45,4967.61,0,0,0,0.26395019807583475
19.23,1,99404.85,1,2,2,1,0,8,337.51,4,3,88,1290.43,3,1,1,0.056959213293445096
6.17,3,70452.68,2,0,2,0,0,14,47.22,4,1,7,3239.85,1,0,1,0.13038884192730346
29.37,2,6376.12,2,1,4,0,0,5,472.07,4,0,117,1522.44,3,0,1,0.06220217294618464
18.36,1,88596.86,0,4,2,0,0,1,427.01,4,3,176,2034.61,3,1,1,0.04298658425230034
52.59,1,24496.15,2,2,4,0,0,3,98.36,3,0,48,2689.52,3,0,0,0.5341255332114565
376.37,3,49116.13,0,2,1,0,0,11,136.33,0,3,237,3984.53,1,0,0,2.7587040973392947
469.43,2,52125.14,0,1,0,0,0,13,462.31,4,0,15,165.87,1,1,1,1.0151813325836379
186.24,2,18322.9,0,0,4,0,0,9,323.17,1,3,32,1453.65,0,0,0,0.5761128468462894
35.02,2,93166.03,1,2,0,1,1,14,366.68,2,2,30,4882.6,0,0,1,0.09547957903920606
119.32,3,31537.89,0,4,1,0,0,4,143.86,0,0,34,277.94,3,1,1,0.8288413448180049
92.61,2,72970.82,2,1,0,0,0,1,191.55,2,3,203,2406.42,2,0,0,0.4832246282285416
10.15,3,6991.1,1,1,1,0,0,6,166.95,4,2,55,822.58,0,0,1,0.06076025142173003
13.14,3,23806.33,2,4,2,0,0,11,150.45,2,0,201,1710.18,0,0,0,0.08727997343075392
51.35,2,11501.26,0,0,1,0,0,11,436.88,3,0,85,938.97,1,0,0,0.11751109890612843
11.98,3,907.29,1,0,1,0,0,12,118.82,4,2,92,3884.79,3,0,1,0.10073999327278844
13.31,3,25559.94,1,1,3,0,0,7,62.27,1,3,25,4111.49,2,0,1,0.21340388007054673
72.49,2,22118.14,2,0,1,0,0,5,100.2,0,1,29,4473.62,1,0,0,0.7227318045862412
152.06,2,77353.87,0,4,3,0,0,9,21.01,0,3,230,2716.44,1,0,0,7.203221222169587
50.7,2,77270.18,0,1,0,0,0,2,49.55,4,2,185,4062.1,1,1,1,1.0211480362537766
134.91,0,93551.86,2,3,3,0,0,4,338.13,1,2,195,453.58,2,1,1,0.39887059101794636
216.73,1,89547.5,1,0,3,0,1,5,436.23,4,3,178,2.83,1,1,1,0.4967112048220383
275.07,2,64263.47,0,4,1,0,0,12,68.68,4,1,78,4052.01,3,0,1,3.999273044489677
19.71,0,68434.73,1,3,3,0,0,4,189.94,3,0,236,2187.67,3,0,1,0.10371500736687014
